customer_id,customer_name,customer_segment,order_details_id,order_id,product_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales,order_date,shipping_city,shipping_state,shipping_region,shipping_country,shipping_postal_code,shipping_date,shipping_mode,product_name,product_category,product_subcategory,product_manufacturer
91,Bill Shonely,Corporate,1,CA-2015-100004,122,62,0.1,327,0.39,837,9/6/2015,New York City,New York,East,United States,10011,9/6/2015,Same Day,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
91,Bill Shonely,Corporate,2,CA-2015-100004,764,18,0.2,565,0.26,2174,9/6/2015,New York City,New York,East,United States,10011,9/6/2015,Same Day,"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,Global
224,Dennis Kane,Consumer,3,CA-2015-100006,161,3,0,110,0.29,378,9/7/2015,New York City,New York,East,United States,10024,9/13/2015,Standard Class,AT&T EL51110 DECT,Technology,Phones,AT&T
62,Arthur Wiediger,Home Office,4,CA-2015-100032,122,53,0.1,272,0.38,715,9/7/2015,New York City,New York,East,United States,10025,9/13/2015,Standard Class,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
62,Arthur Wiediger,Home Office,5,CA-2015-100032,1342,23,0.1,96,0.31,311,9/7/2015,New York City,New York,East,United States,10025,9/13/2015,Standard Class,Recycled Premium Regency Composition Covers,Office Supplies,Binders,Other
62,Arthur Wiediger,Home Office,6,CA-2015-100032,613,16,0.1,407,0.27,1506,9/7/2015,New York City,New York,East,United States,10025,9/13/2015,Standard Class,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies,Appliances,Eureka
311,Greg Matthias,Consumer,7,CA-2015-100051,812,79,0.2,318,0.35,909,9/6/2015,New York City,New York,East,United States,10011,9/12/2015,Standard Class,Holmes Odor Grabber,Office Supplies,Appliances,Holmes
246,Ed Braxton,Corporate,8,CA-2015-100090,1648,6,0.2,69,0.35,197,7/8/2015,San Francisco,California,West,United States,94122,7/12/2015,Standard Class,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,Wilson Jones
246,Ed Braxton,Corporate,9,CA-2015-100090,819,3,0.2,-88,-0.18,502,7/8/2015,San Francisco,California,West,United States,94122,7/12/2015,Standard Class,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Hon
388,John Lee,Consumer,10,CA-2015-100136,920,130,0.3,1399,0.41,3413,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class,Imation Clip USB flash drive - 8 GB,Technology,Accessories,Imation
388,John Lee,Consumer,11,CA-2015-100136,1216,94,0.1,64,0.21,305,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class,OIC Binder Clips,Office Supplies,Fasteners,Other
388,John Lee,Consumer,12,CA-2015-100136,122,143,0.1,734,0.38,1931,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
388,John Lee,Consumer,13,CA-2015-100136,1507,324,0.2,114,0.22,518,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class,Staples,Office Supplies,Fasteners,Other
388,John Lee,Consumer,14,CA-2015-100136,1600,216,0.1,264,0.34,778,9/5/2015,New York City,New York,East,United States,10011,9/11/2015,Standard Class,Unpadded Memo Slips,Office Supplies,Paper,Other
564,Neil Französisch,Home Office,15,CA-2015-100293,1677,6,0.2,32,0.35,91,3/14/2015,Jacksonville,Florida,South,United States,32216,3/18/2015,Standard Class,Xerox 1887,Office Supplies,Paper,Xerox
355,Jasper Cacioppo,Consumer,16,CA-2015-100328,1313,1,0.2,1,0.34,4,1/28/2015,New York City,New York,East,United States,10024,2/3/2015,Standard Class,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Pressboard
376,Jim Mitchum,Corporate,17,CA-2015-100363,326,2,0.2,1,0.35,2,4/8/2015,Glendale,Arizona,West,United States,85301,4/15/2015,Standard Class,Binder Clips by OIC,Office Supplies,Fasteners,OIC
376,Jim Mitchum,Corporate,18,CA-2015-100363,1568,3,0.2,7,0.36,19,4/8/2015,Glendale,Arizona,West,United States,85301,4/15/2015,Standard Class,Things To Do Today Spiral Book,Office Supplies,Paper,Things To Do
71,Barry Weirich,Consumer,19,CA-2015-100391,1523,2,0,7,0.46,15,5/25/2015,New York City,New York,East,United States,10035,5/29/2015,Standard Class,Strathmore Photo Frame Cards,Office Supplies,Paper,Strathmore
447,Kunst Miller,Consumer,20,CA-2015-100678,1306,2,0.2,1,0.38,3,4/18/2015,Houston,Texas,Central,United States,77095,4/22/2015,Standard Class,Prang Dustless Chalk Sticks,Office Supplies,Art,Prang
447,Kunst Miller,Consumer,21,CA-2015-100678,396,3,0.2,50,0.34,149,4/18/2015,Houston,Texas,Central,United States,77095,4/22/2015,Standard Class,Cameo Buff Policy Envelopes,Office Supplies,Envelopes,Other
447,Kunst Miller,Consumer,22,CA-2015-100678,956,3,0.2,28,0.13,228,4/18/2015,Houston,Texas,Central,United States,77095,4/22/2015,Standard Class,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,Kensington
447,Kunst Miller,Consumer,23,CA-2015-100678,529,3,0.3,-18,-0.06,317,4/18/2015,Houston,Texas,Central,United States,77095,4/22/2015,Standard Class,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,Chairs,DMI
453,Laurel Elliston,Consumer,24,CA-2015-100706,1595,6,0,10,0.33,29,12/16/2015,Springfield,Virginia,South,United States,22153,12/18/2015,Second Class,Ultra Door Push Plate,Furniture,Furnishings,Ultra
453,Laurel Elliston,Consumer,25,CA-2015-100706,421,2,0,8,0.08,100,12/16/2015,Springfield,Virginia,South,United States,22153,12/18/2015,Second Class,Case Logic 2.4GHz Wireless Keyboard,Technology,Accessories,Other
556,Nat Gilpin,Corporate,26,CA-2015-100762,97,2,0,8,0.5,16,11/24/2015,Jackson,Michigan,Central,United States,49201,11/29/2015,Standard Class,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,Adams
556,Nat Gilpin,Corporate,27,CA-2015-100762,1675,3,0,69,0.48,144,11/24/2015,Jackson,Michigan,Central,United States,49201,11/29/2015,Standard Class,Xerox 1885,Office Supplies,Paper,Xerox
556,Nat Gilpin,Corporate,28,CA-2015-100762,889,4,0,46,0.3,152,11/24/2015,Jackson,Michigan,Central,United States,49201,11/29/2015,Standard Class,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Hunt
556,Nat Gilpin,Corporate,29,CA-2015-100762,532,2,0,96,0.49,197,11/24/2015,Jackson,Michigan,Central,United States,49201,11/29/2015,Standard Class,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,Other
166,Cindy Stewart,Consumer,30,CA-2015-100860,1462,5,0,9,0.48,19,3/26/2015,Pomona,California,West,United States,91767,3/30/2015,Second Class,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Labels,Smead
274,Eugene Hildebrand,Home Office,31,CA-2015-100867,1335,6,0.2,20,0.06,322,10/19/2015,Lakewood,California,West,United States,90712,10/24/2015,Standard Class,RCA Visys Integrated PBX 8-Line Router,Technology,Phones,RCA
195,Daniel Raglin,Home Office,32,CA-2015-100881,163,3,0.2,23,0.08,302,3/28/2015,Albuquerque,New Mexico,West,United States,87105,4/1/2015,Standard Class,AT&T TR1909W,Technology,Phones,AT&T
718,Stewart Visinsky,Consumer,33,CA-2015-100895,1414,2,0,3,0.31,9,6/2/2015,Roswell,Georgia,South,United States,30076,6/6/2015,Standard Class,"Sanford Colorific Scented Colored Pencils, 12/Pack",Office Supplies,Art,Sanford
718,Stewart Visinsky,Consumer,34,CA-2015-100895,1103,3,0,67,0.28,240,6/2/2015,Roswell,Georgia,South,United States,30076,6/6/2015,Standard Class,Mophie Juice Pack Helium for iPhone,Technology,Phones,Other
718,Stewart Visinsky,Consumer,35,CA-2015-100895,866,2,0,107,0.3,357,6/2/2015,Roswell,Georgia,South,United States,30076,6/6/2015,Standard Class,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,Other
284,Frank Hawley,Corporate,36,CA-2015-100916,1417,1,0,1,0.31,3,10/21/2015,Newport News,Virginia,South,United States,23602,10/26/2015,Standard Class,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,Art,Sanford
284,Frank Hawley,Corporate,37,CA-2015-100916,557,5,0,10,0.05,195,10/21/2015,Newport News,Virginia,South,United States,23602,10/26/2015,Standard Class,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,Eldon
284,Frank Hawley,Corporate,38,CA-2015-100916,820,4,0,112,0.19,591,10/21/2015,Newport News,Virginia,South,United States,23602,10/26/2015,Standard Class,Hon 2111 Invitation Series Straight Table,Furniture,Tables,Hon
223,Dennis Bolton,Home Office,39,CA-2015-100972,1678,3,0,80,0.48,166,11/19/2015,Salt Lake City,Utah,West,United States,84106,11/24/2015,Second Class,Xerox 1888,Office Supplies,Paper,Xerox
504,Matt Collins,Consumer,40,CA-2015-101147,1502,1,0.8,-6,-2.65,2,12/2/2015,Chicago,Illinois,Central,United States,60623,12/4/2015,First Class,Staple holder,Office Supplies,Appliances,Staple holder
196,Dario Medina,Corporate,41,CA-2015-101175,53,6,0.2,-1,-0.01,101,12/9/2015,Mesa,Arizona,West,United States,85204,12/14/2015,Standard Class,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage,Acco
